sequence accession,strain_name,state,subtype,NA_clade,HA_clade
KF824496,A/swine/Minnesota/A01394021/2013,Minnesota,H3N2,N2.2002B,cluster_iva
KF765600,A/swine/South_Dakota/A01365378/2013,South Dakota,H1N2,N2.1998A,delta1b
KF824484,A/swine/Minnesota/A01394042/2013,Minnesota,H1N2,N2.2002A,delta1b
KF765603,A/swine/Iowa/A01365406/2013,Iowa,H3N2,N2.2002B,cluster_iva
KF790594,A/swine/Minnesota/A01365497/2013,Minnesota,H3N2,N2.2002B,cluster_ivb
KF894898,A/swine/Nebraska/A01104068/2013,Nebraska,H1N2,N2.2002A,delta1a
KF836426,A/swine/Nebraska/A01394342/2013,Nebraska,H3N2,N2.2002A,cluster_iva
KF836423,A/swine/Nebraska/A01394353/2013,Nebraska,H1N2,N2.2002A,delta1b
KF874260,A/swine/Iowa/A01394595/2013,Iowa,H3N2,N2.2002B,cluster_iva
KF856882,A/swine/Minnesota/A01365586/2013,Minnesota,H3N2,N2.2002B,cluster_ivb
KF874248,A/swine/Iowa/A01394642/2013,Iowa,H1N2,N2.2002A,delta1b
KF894906,A/swine/Nebraska/A01104071/2013,Nebraska,H1N2,N2.2002A,delta1a
KF894913,A/swine/Nebraska/A01394567/2013,Nebraska,H3N2,N2.2002A,cluster_iva
KF924051,A/swine/North_Carolina/A01290777/2013,North Carolina,H1N2,N2.2002B,delta2
KF986940,A/swine/Illinois/A01290850/2013,Illinois,H1N2,N2.2002A,delta1b
KF986882,A/swine/Illinois/A01290887/2013,Illinois,H1N2,N2.2002A,delta1b
KF922826,A/swine/Illinois/A01291840/2013,Illinois,H1N2,N2.2002B,delta1b
KF986928,A/swine/Illinois/A01291948/2013,Illinois,H1N2,N2.2002A,delta1b
KF922751,A/swine/Illinois/A01409065/2013,Illinois,H1N2,N2.2002A,delta1b
KF922742,A/swine/Illinois/A01409073/2013,Illinois,H1N2,N2.2002A,delta1b
KF986912,A/swine/Illinois/A01411080/2013,Illinois,H1N2,N2.2002A,gamma
KF986906,A/swine/Indiana/A01290854/2013,Indiana,H3N2,N2.2002B,cluster_iva
KF922784,A/swine/Iowa/A01290742/2013,Iowa,H3N2,N2.2002B,cluster_iva
KF924076,A/swine/Iowa/A01290752/2013,Iowa,(N2),N2.2002A,cluster_iva
KF986964,A/swine/Iowa/A01290820/2013,Iowa,H1N2,N2.2002B,delta1b
KF986894,A/swine/Iowa/A01290852/2013,Iowa,H1N2,N2.2002A,delta1b
KF986915,A/swine/Iowa/A01290859/2013,Iowa,(N2),N2.2002A,cluster_iva
KF986897,A/swine/Iowa/A01290860/2013,Iowa,H3N2,N2.2002B,cluster_iva
KJ130103,A/swine/Iowa/A01290867/2013,Iowa,H3N2,N2.2002B,cluster_iva
KF986931,A/swine/Iowa/A01290904/2013,Iowa,H1N2,N2.2002A,delta1b
KF856885,A/swine/Iowa/A01365608/2013,Iowa,H3N2,N2.2002B,cluster_iva
KF922745,A/swine/Minnesota/A01290747/2013,Minnesota,H3N2,N2.1998A,cluster_ivf
KF922793,A/swine/Minnesota/A01290748/2013,Minnesota,H3N2,N2.1998A,cluster_ivf
KF888394,A/swine/Minnesota/A01365842/2013,Minnesota,H3N2,N2.2002B,cluster_ivb
KF986879,A/swine/Minnesota/A01409450/2013,Minnesota,H3N2,N2.2002B,cluster_iva
KF922802,A/swine/North_Carolina/A01290717/2013,North Carolina,H3N2,N2.2002B,cluster_iva
KF922757,A/swine/North_Carolina/A01290718/2013,North Carolina,H1N2,N2.2002A,delta1b
KF924060,A/swine/North_Carolina/A01290721/2013,North Carolina,(N2),N2.1998B,delta2
KF922763,A/swine/North_Carolina/A01290722/2013,North Carolina,H3N2,N2.2002B,cluster_iva
KF922775,A/swine/North_Carolina/A01290725/2013,North Carolina,H1N2,N2.2002A,delta1b
KF922811,A/swine/North_Carolina/A01290729/2013,North Carolina,H1N2,N2.2002A,delta1b
KF922820,A/swine/North_Carolina/A01290741/2013,North Carolina,H1N2,N2.1998B,delta2
KF924070,A/swine/North_Carolina/A01290759/2013,North Carolina,H3N2,N2.2002B,cluster_iva
KF924083,A/swine/North_Carolina/A01290762/2013,North Carolina,H3N2,N2.2002B,cluster_iva
KF924094,A/swine/North_Carolina/A01290765/2013,North Carolina,H1N2,N2.1998B,delta2
KF924048,A/swine/North_Carolina/A01290778/2013,North Carolina,H3N2,N2.2002B,cluster_iva
KF986970,A/swine/North_Carolina/A01290790/2013,North Carolina,H1N2,N2.1998B,delta2
KJ397935,A/swine/North_Carolina/A01290797/2013,North Carolina,(N2),N2.2002B,gamma
KF986934,A/swine/North_Carolina/A01290800/2013,North Carolina,H1N2,N2.2002A,delta1b
KJ397946,A/swine/North_Carolina/A01290805/2013,North Carolina,(N2),N2.2002B,cluster_iva
KF986955,A/swine/North_Carolina/A01290889/2013,North Carolina,H1N2,N2.1998B,delta2
KF986925,A/swine/North_Carolina/A01290891/2013,North Carolina,H1N2,N2.1998B,delta2
KJ130127,A/swine/North_Carolina/A01291932/2013,North Carolina,H1N2,N2.2002A,delta1b
KF922766,A/swine/North_Carolina/A01409048/2013,North Carolina,H3N2,N2.2002B,cluster_iva
KF924089,A/swine/North_Carolina/A01409109/2013,North Carolina,(N2),N2.2002B,cluster_iva
KF986873,A/swine/Oklahoma/A01290816/2013,Oklahoma,H1N2,N2.2002A,delta1b
KF986967,A/swine/USA/A01409276/2013,Unknown,H3N2,N2.2002B,cluster_iva
KF998036,A/swine/Illinois/A01427136/2013,Illinois,H3N2,N2.2002B,cluster_iva
KF894910,A/swine/North_Carolina/A01394918/2013,North Carolina,H1N2,N2.2002A,delta1b
KF982055,A/swine/Illinois/A01427144/2013,Illinois,H3N2,N2.2002A,cluster_ive
KF888385,A/swine/Minnesota/A01365714/2013,Minnesota,H1N2,N2.2002A,delta1a
KJ470680,A/swine/Indiana/A01260415/2013,Indiana,H1N2,N2.2002A,delta1b
KJ470683,A/swine/Indiana/A01260416/2013,Indiana,H3N2,N2.2002B,cluster_iva
KF952504,A/swine/Minnesota/A01395189/2013,Minnesota,H1N2,N2.2002A,delta1a
KF918421,A/swine/Minnesota/A01365853/2013,Minnesota,H1N2,N2.2002A,delta1b
KF952501,A/swine/Minnesota/A01395108/2013,Minnesota,H1N2,N2.2002B,delta1a
KF918424,A/swine/Iowa/A01365906/2013,Iowa,H3N2,N2.2002B,cluster_iva
KF952498,A/swine/Minnesota/A01395294/2013,Minnesota,H3N2,N2.2002B,cluster_iva
KJ130094,A/swine/Nebraska/A01409533/2013,Nebraska,H3N2,N2.2002A,cluster_iva
KF986979,A/swine/Oklahoma/A01290898/2013,Oklahoma,H1N2,N2.2002A,delta1b
KF938989,A/swine/Minnesota/A01366004/2013,Minnesota,H3N2,N2.2002B,cluster_ivb
KF938992,A/swine/Minnesota/A01366009/2013,Minnesota,H1N2,N2.1998A,delta1b
KF960693,A/swine/Minnesota/A01366050/2013,Minnesota,H3N2,N2.2002B,cluster_iva
CY195024,A/swine/Maryland/D0384/2013,Maryland,H3N2,N2.2002B,cluster_iva
KF960696,A/swine/South_Dakota/A01366063/2013,South Dakota,H3N2,N2.2002A,cluster_iva
KF986900,A/swine/Illinois/A01409364/2013,Illinois,H1N2,N2.2002A,delta1a
KJ154110,A/swine/Illinois/A01409639/2013,Illinois,H3N2,N2.2002B,cluster_iva
KJ154093,A/swine/Illinois/A01410018/2013,Illinois,(N2),N2.2002B,cluster_iva
KJ130100,A/swine/Illinois/A01411096/2013,Illinois,(N2),N2.2002B,cluster_iva
KJ130136,A/swine/Illinois/A01411111/2013,Illinois,H1N2,N2.2002A,delta1b
KJ130124,A/swine/Iowa/A01290933/2013,Iowa,H3N2,N2.2002B,cluster_ivb
KJ154153,A/swine/Iowa/A01409518/2013,Iowa,H3N2,N2.2002B,cluster_iva
KJ154104,A/swine/Iowa/A01410020/2013,Iowa,H1N2,N2.2002A,delta1b
KJ397952,A/swine/North_Carolina/A01290890/2013,North Carolina,(N2),N2.1998B,delta2
KJ154069,A/swine/North_Carolina/A01290948/2013,North Carolina,H1N2,N2.2002A,delta1b
KF986937,A/swine/North_Carolina/A01409423/2013,North Carolina,H3N2,N2.2002B,cluster_iva
KJ397948,A/swine/North_Carolina/A01410024/2013,North Carolina,(N2),N2.1998B,gamma
KJ484590,A/swine/Kansas/A01377122/2013,Kansas,H1N2,N2.2002A,delta1b
KJ484596,A/swine/Kansas/A01377161/2013,Kansas,H3N2,N2.2002B,cluster_iva
KJ484599,A/swine/Kansas/A01377165/2013,Kansas,H3N2,N2.2002B,cluster_iva
KF977146,A/swine/Nebraska/A01395675/2013,Nebraska,H3N2,N2.2002A,cluster_iva
KJ130091,A/swine/North_Carolina/A01290932/2013,North Carolina,H1N2,N2.1998B,delta2
KF982064,A/swine/South_Dakota/A01366093/2013,South Dakota,H3N2,N2.2002B,cluster_iva
KF982070,A/swine/South_Dakota/A01366205/2013,South Dakota,H3N2,N2.2002B,cluster_ivb
KJ128348,A/swine/Minnesota/A01395969/2013,Minnesota,H1N2,N2.2002A,delta1b
KJ128357,A/swine/Minnesota/A01395979/2013,Minnesota,H1N2,N2.2002A,delta1b
KJ128351,A/swine/Nebraska/A01395901/2013,Nebraska,H3N2,N2.2002B,cluster_iva
KJ128339,A/swine/Nebraska/A01395921/2013,Nebraska,H3N2,N2.2002B,cluster_iva
KJ128345,A/swine/Illinois/A01393671/2013,Illinois,H3N2,N2.2002B,cluster_ivb
KJ130230,A/swine/SouthDakota/A01366307/2013,Unknown,H1N2,N2.1998A,delta1b
KJ154132,A/swine/Illinois/A01409611/2013,Illinois,H3N2,N2.2002B,cluster_iva
KJ128360,A/swine/Nebraska/A01393702/2013,Nebraska,H3N2,N2.2002B,cluster_iva
KJ154113,A/swine/Illinois/A01409657/2013,Illinois,H3N2,N2.2002B,cluster_iva
KJ154119,A/swine/Illinois/A01411232/2013,Illinois,H3N2,N2.2002B,cluster_iva
KJ130233,A/swine/Minnesota/A01366391/2013,Minnesota,H1N2,N2.2002A,delta1b
KJ154144,A/swine/Nebraska/A01409647/2013,Nebraska,H3N2,N2.2002A,cluster_iva
KJ154126,A/swine/Illinois/A01409675/2013,Illinois,H3N2,N2.2002B,cluster_iva
KJ154122,A/swine/North_Carolina/A01410043/2013,North Carolina,(N2),N2.2002B,delta1b
KJ130239,A/swine/SouthDakota/A01366455/2013,Unknown,H1N2,N2.1998A,delta1b
KJ154087,A/swine/Illinois/A01409717/2013,Illinois,H3N2,N2.2002B,cluster_iva
KJ154060,A/swine/Minnesota/A01490759/2013,Minnesota,H3N2,N2.2002A,cluster_iva
KJ130242,A/swine/Minnesota/A01366485/2013,Minnesota,H1N2,N2.2002A,delta1a
KJ154081,A/swine/Illinois/A01409735/2013,Illinois,H3N2,N2.2002B,cluster_iva
KJ437555,A/swine/Minnesota/A01409771/2013,Minnesota,H3N2,N2.2002B,cluster_ivb
KJ437525,A/swine/Minnesota/A01410096/2013,Minnesota,H3N2,N2.2002B,cluster_ivb
KJ149572,A/swine/Nebraska/A01490219/2013,Nebraska,H1N2,N2.2002A,delta1b
KJ206104,A/swine/Illinois/A01409794/2014,Illinois,H1N2,N2.2002A,delta1b
KJ437573,A/swine/Illinois/A01409928/2014,Illinois,H1N2,N2.2002A,delta1b
KJ437521,A/swine/Illinois/A01409932/2014,Illinois,(N2),N2.2002A,cluster_iva
KJ206098,A/swine/Illinois/A01410100/2014,Illinois,H1N2,N2.2002A,delta1b
KJ437543,A/swine/Illinois/A01410110/2014,Illinois,H3N2,N2.2002B,cluster_iva
KJ206110,A/swine/Illinois/A01411097/2014,Illinois,H3N2,N2.2002B,cluster_iva
KJ437582,A/swine/Illinois/A01411343/2014,Illinois,(N2),N2.2002B,gamma
KJ493381,A/swine/Illinois/A01411363/2014,Illinois,H3N2,N2.2002B,cluster_ivb
KJ437570,A/swine/Illinois/A01411380/2014,Illinois,H1N2,N2.2002B,pdmh1
KJ437576,A/swine/Minnesota/A01410131/2014,Minnesota,H1N2,N2.2002A,delta1a
KJ437546,A/swine/Missouri/A01411322/2014,Missouri,H1N2,N2.2002A,delta1a
KJ437567,A/swine/North_Carolina/A01410118/2014,North Carolina,H3N2,N2.2002B,cluster_iva
KJ437534,A/swine/North_Carolina/A01410136/2014,North Carolina,H3N2,N2.2002B,cluster_iva
KJ437552,A/swine/North_Carolina/A01410180/2014,North Carolina,H3N2,N2.2002B,cluster_iva
KJ437590,A/swine/Oklahoma/A01409770/2014,Oklahoma,H1N2,N2.1998B,delta2
KJ579978,A/swine/Indiana/A01260462/2014,Indiana,H3N2,N2.2002B,cluster_iva
KJ162082,A/swine/Nebraska/A01490415/2014,Nebraska,H1N2,N2.2002A,delta1b
KJ162073,A/swine/Nebraska/A01490456/2014,Nebraska,H1N2,N2.2002A,delta1b
KJ206204,A/swine/Illinois/A00843193/2014,Illinois,H3N2,N2.2002B,cluster_iva
KJ175147,A/swine/Minnesota/A01366540/2014,Minnesota,H1N2,N2.2002A,delta1b
KJ162076,A/swine/Nebraska/A01490535/2014,Nebraska,H1N2,N2.2002A,delta1b
KJ162070,A/swine/Nebraska/A01490540/2014,Nebraska,H1N2,N2.2002A,delta1b
KJ175150,A/swine/Iowa/A01366680/2014,Iowa,H3N2,N2.2002B,cluster_iva
KJ579981,A/swine/Indiana/A01260466/2014,Indiana,H3N2,N2.2002B,cluster_iva
KJ605109,A/swine/Texas/A01410206/2014,Texas,H1N2,N2.2002A,delta1b
KJ417897,A/swine/Illinois/A01491193/2014,Illinois,H3N2,N2.2002A,cluster_ive
KJ650530,A/swine/Indiana/A01260471/2014,Indiana,H1N2,N2.2002A,delta1b
KJ650527,A/swine/Indiana/A01260474/2014,Indiana,H1N2,N2.2002A,delta1b
KJ417888,A/swine/Nebraska/A01491325/2014,Nebraska,H3N2,N2.2002B,cluster_iva
KJ650521,A/swine/Indiana/A01260476/2014,Indiana,H1N2,N2.2002A,delta1b
KJ650524,A/swine/Indiana/A01260477/2014,Indiana,H1N2,N2.2002A,delta1b
KJ650533,A/swine/Indiana/A01260479/2014,Indiana,H3N2,N2.2002B,cluster_iva
KJ417964,A/swine/Minnesota/A01366913/2014,Minnesota,H3N2,N2.2002B,cluster_iva
KJ493360,A/swine/Illinois/A01409964/2014,Illinois,H1N2,N2.2002A,delta1b
KJ493384,A/swine/Illinois/A01409994/2014,Illinois,H3N2,N2.2002B,cluster_iva
KJ605079,A/swine/Illinois/A01409996/2014,Illinois,(N2),N2.2002A,cluster_iva
KJ493369,A/swine/Illinois/A01410216/2014,Illinois,H1N2,N2.2002A,delta1b
KJ493372,A/swine/Illinois/A01410268/2014,Illinois,H3N2,N2.2002B,cluster_iva
KJ605076,A/swine/Illinois/A01411405/2014,Illinois,H1N2,N2.2002A,delta1b
KJ493390,A/swine/Illinois/A01411453/2014,Illinois,H1N2,N2.2002A,delta1b
KJ493346,A/swine/Illinois/A01411461/2014,Illinois,(N2),N2.2002B,cluster_iva
KJ493363,A/swine/Illinois/A01411463/2014,Illinois,H3N2,N2.2002B,cluster_iva
KJ493387,A/swine/Illinois/A01475015/2014,Illinois,H3N2,N2.2002B,cluster_iva
KJ605098,A/swine/Illinois/A01475084/2014,Illinois,(N2),N2.2002A,cluster_iva
KJ605004,A/swine/Illinois/A01475088/2014,Illinois,H1N2,N2.2002A,delta1b
KJ605028,A/swine/Illinois/A01475091/2014,Illinois,H1N2,N2.2002A,delta1b
KJ605103,A/swine/Indiana/A01410287/2014,Indiana,H3N2,N2.2002B,cluster_iva
KJ605046,A/swine/Iowa/A01410294/2014,Iowa,H1N2,N2.2002A,delta1b
KJ493393,A/swine/North_Carolina/A01409981/2014,North Carolina,H3N2,N2.2002B,cluster_iva
KJ605089,A/swine/North_Carolina/A01410326/2014,North Carolina,H1N2,N2.1998B,delta2
KJ605007,A/swine/Oklahoma/A01411435/2014,Oklahoma,(N2),N2.2002A,delta1b
KJ493340,A/swine/Illinois/A01491915/2014,Illinois,H1N2,N2.2002A,delta1a
KJ452398,A/swine/Nebraska/A01491558/2014,Nebraska,H3N2,N2.2002B,cluster_iva
KJ460972,A/swine/Minnesota/A01366992/2014,Minnesota,H3N2,N2.2002A,cluster_iva
KJ588370,A/swine/Iowa/A01480042/2014,Iowa,H3N2,N2.2002B,cluster_iva
KJ831084,A/swine/Illinois/A01536079/2014,Illinois,H3N2,N2.2002B,cluster_iva
KJ549772,A/swine/Nebraska/A01492366/2014,Nebraska,H1N2,N2.2002A,delta1a
KJ540982,A/swine/Minnesota/A01480322/2014,Minnesota,H3N2,N2.2002A,cluster_iva
KJ588373,A/swine/South_Dakota/A01480341/2014,South Dakota,H3N2,N2.2002B,cluster_iva
KJ701863,A/swine/Illinois/A01410373/2014,Illinois,H3N2,N2.2002B,cluster_ivb
KJ604995,A/swine/Illinois/A01410380/2014,Illinois,H3N2,N2.2002B,cluster_ivb
KJ605070,A/swine/Illinois/A01410405/2014,Illinois,H1N2,N2.2002A,delta1b
KJ605025,A/swine/Illinois/A01410409/2014,Illinois,H3N2,N2.2002B,cluster_iva
KJ701841,A/swine/Illinois/A01410453/2014,Illinois,H3N2,N2.2002B,cluster_iva
KJ605064,A/swine/Illinois/A01411493/2014,Illinois,H3N2,N2.2002B,cluster_iva
KJ605019,A/swine/Illinois/A01411590/2014,Illinois,H1N2,N2.2002A,delta1b
KJ701844,A/swine/Illinois/A01411669/2014,Illinois,(N2),N2.2002A,cluster_iv
KJ701820,A/swine/Illinois/A01475166/2014,Illinois,H1N2,N2.2002A,delta1b
KJ701826,A/swine/Illinois/A01475190/2014,Illinois,H3N2,N2.2002B,cluster_iva
KJ739435,A/swine/Illinois/A01475266/2014,Illinois,H3N2,N2.2002B,cluster_iva
KJ604998,A/swine/Indiana/A01410396/2014,Indiana,H3N2,N2.2002B,cluster_iva
KJ605013,A/swine/Iowa/A01410349/2014,Iowa,H1N2,N2.2002A,delta1b
KJ605095,A/swine/Iowa/A01410371/2014,Iowa,H1N2,N2.2002A,delta1b
KJ701808,A/swine/Iowa/A01410456/2014,Iowa,H1N2,N2.2002A,delta1b
KJ739399,A/swine/Iowa/A01410497/2014,Iowa,H1N2,N2.2002A,delta1b
KJ739444,A/swine/Iowa/A01410509/2014,Iowa,H1N2,N2.2002B,delta1b
KJ739378,A/swine/Iowa/A01410515/2014,Iowa,H1N2,N2.2002A,delta1b
KJ701823,A/swine/Missouri/A01411681/2014,Missouri,H3N2,N2.2002A,cluster_iv
KJ605001,A/swine/North_Carolina/A01410354/2014,North Carolina,H3N2,N2.2002B,cluster_iva
KJ701829,A/swine/North_Carolina/A01410500/2014,North Carolina,H1N2,N2.2002B,delta2
KJ701802,A/swine/North_Carolina/A01410501/2014,North Carolina,H1N2,N2.2002B,delta2
KJ739363,A/swine/North_Carolina/A01410511/2014,North Carolina,H3N2,N2.2002B,cluster_iva
KJ739384,A/swine/North_Carolina/A01410522/2014,North Carolina,H1N2,N2.1998B,delta2
KJ701805,A/swine/North_Carolina/A01410527/2014,North Carolina,H3N2,N2.2002B,cluster_iva
KJ701851,A/swine/North_Carolina/A01410529/2014,North Carolina,H3N2,N2.2002B,cluster_iva
KJ701814,A/swine/North_Carolina/A01475217/2014,North Carolina,H3N2,N2.2002A,cluster_iva
KJ701811,A/swine/North_Carolina/A01475223/2014,North Carolina,H1N2,N2.1998B,delta2
KJ597818,A/swine/Nebraska/A01492599/2014,Nebraska,H1N2,N2.2002A,delta1a
KJ754555,A/swine/Kansas/A01377243/2014,Kansas,H3N2,N2.2002A,cluster_iva
KJ635927,A/swine/Minnesota/A01480518/2014,Minnesota,H3N2,N2.2002A,cluster_iva
KJ639901,A/swine/Illinois/A01493027/2014,Illinois,H3N2,N2.2002A,cluster_ive
KJ831087,A/swine/Illinois/A01536186/2014,Illinois,H3N2,N2.2002B,cluster_iva
KJ667971,A/swine/Illinois/A01493218/2014,Illinois,H3N2,N2.2002A,cluster_ive
KJ842337,A/swine/Indiana/A01260521/2014,Indiana,H3N2,N2.2002B,cluster_iva
KJ635930,A/swine/Iowa/A01480656/2014,Iowa,H3N2,N2.2002B,cluster_iva
KJ754558,A/swine/Kansas/A01377256/2014,Kansas,H1N2,N2.2002A,delta1a
KJ739369,A/swine/North_Carolina/A01410564/2014,North Carolina,H1N2,N2.1998B,delta2
KJ702434,A/swine/Illinois/A01493469/2014,Illinois,H3N2,N2.2002A,cluster_ive
KJ734793,A/swine/Minnesota/A01493481/2014,Minnesota,H3N2,N2.2002B,cluster_iva
KJ702437,A/swine/Nebraska/A01493501/2014,Nebraska,H3N2,N2.2002A,cluster_iva
KJ702431,A/swine/Nebraska/A01493629/2014,Nebraska,H1N2,N2.2002A,delta1a
KJ813431,A/swine/Illinois/A01411761/2014,Illinois,H3N2,N2.2002A,cluster_iva
KJ859601,A/swine/Illinois/A01411783/2014,Illinois,H1N2,N2.2002A,delta1b
KJ739432,A/swine/Illinois/A01475273/2014,Illinois,H3N2,N2.2002B,cluster_iva
KJ739441,A/swine/Illinois/A01475279/2014,Illinois,H3N2,N2.2002B,cluster_iva
KJ859610,A/swine/Illinois/A01475330/2014,Illinois,H3N2,N2.2002B,cluster_iva
KJ739402,A/swine/Iowa/A01410600/2014,Iowa,H3N2,N2.2002B,cluster_iva
KJ739420,A/swine/Iowa/A01410614/2014,Iowa,H1N2,N2.2002A,delta1b
KJ813434,A/swine/Iowa/A01410633/2014,Iowa,H3N2,N2.2002B,cluster_iva
KJ813413,A/swine/Iowa/A01410694/2014,Iowa,H1N2,N2.2002A,delta1b
KJ859604,A/swine/Iowa/A01410714/2014,Iowa,H1N2,N2.2002A,delta1a
KM044314,A/swine/Iowa/A01410752/2014,Iowa,H3N2,N2.2002B,cluster_iva
KJ777468,A/swine/Kansas/A01377287/2014,Kansas,H1N2,N2.2002A,delta1a
KJ739408,A/swine/North_Carolina/A01410562/2014,North Carolina,H1N2,N2.1998B,delta2
KJ739447,A/swine/North_Carolina/A01410563/2014,North Carolina,H1N2,N2.2002B,delta2
KJ739375,A/swine/North_Carolina/A01410593/2014,North Carolina,H3N2,N2.2002B,cluster_iva
KJ739438,A/swine/North_Carolina/A01410622/2014,North Carolina,H3N2,N2.2002B,cluster_iva
KJ813437,A/swine/North_Carolina/A01410625/2014,North Carolina,H1N2,N2.2002A,delta1b
KJ813428,A/swine/North_Carolina/A01410672/2014,North Carolina,H3N2,N2.2002B,cluster_iva
KJ813422,A/swine/North_Carolina/A01410681/2014,North Carolina,H1N2,N2.1998B,delta2
KJ813419,A/swine/North_Carolina/A01410687/2014,North Carolina,H3N2,N2.2002B,cluster_iva
KJ813416,A/swine/North_Carolina/A01410688/2014,North Carolina,H3N2,N2.2002B,cluster_iva
KJ859571,A/swine/North_Carolina/A01410691/2014,North Carolina,H3N2,N2.2002B,cluster_iva
KJ859583,A/swine/North_Carolina/A01410709/2014,North Carolina,H3N2,N2.2002B,cluster_iva
KJ859568,A/swine/North_Carolina/A01410732/2014,North Carolina,H3N2,N2.2002B,cluster_iva
KJ739360,A/swine/North_Carolina/A01475277/2014,North Carolina,H3N2,N2.2002B,cluster_iva
KJ683876,A/swine/South_Dakota/A01480796/2014,South Dakota,H1N2,N2.1998A,delta1b
KJ702444,A/swine/Iowa/A01480817/2014,Iowa,H3N2,N2.2002B,cluster_iva
KJ734787,A/swine/Minnesota/A01493740/2014,Minnesota,H1N2,N2.2002A,delta1a
KJ734797,A/swine/South_Dakota/A01480804/2014,South Dakota,H3N2,N2.2002B,cluster_ivd
KM245297,A/swine/Indiana/A01260523/2014,Indiana,H3N2,N2.2002B,cluster_iva
KJ764795,A/swine/Missouri/A01493964/2014,Missouri,H3N2,N2.2002B,cluster_iva
KJ734784,A/swine/Missouri/A01493970/2014,Missouri,H3N2,N2.2002B,cluster_iva
KJ831081,A/swine/Illinois/A01536474/2014,Illinois,H3N2,N2.2002B,cluster_iva
KJ847682,A/swine/Nebraska/A01493792/2014,Nebraska,H1N2,N2.2002A,delta1a
KJ734800,A/swine/Iowa/A01480935/2014,Iowa,H1N2,N2.2002A,delta1a
KJ764789,A/swine/Nebraska/A01493915/2014,Nebraska,H3N2,N2.2002A,cluster_iva
KJ801497,A/swine/Illinois/A01509186/2014,Illinois,H3N2,N2.2002B,cluster_iva
KJ801503,A/swine/Illinois/A01509203/2014,Illinois,H3N2,N2.2002B,cluster_iva
KJ801509,A/swine/Illinois/A01509209/2014,Illinois,H3N2,N2.2002B,cluster_iva
KJ764723,A/swine/Minnesota/A01481073/2014,Minnesota,H3N2,N2.2002B,cluster_iva
KJ801506,A/swine/Nebraska/A01509439/2014,Nebraska,H1N2,N2.2002A,delta1a
KJ847685,A/swine/Iowa/A01509846/2014,Iowa,H3N2,N2.2002B,cluster_ivb
KJ809099,A/swine/Nebraska/A0A01509530/2014,Nebraska,H1N2,N2.2002A,delta1a
KJ809090,A/swine/Nebraska/AA01509545/2014,Nebraska,H1N2,N2.2002A,delta1a
KJ847688,A/swine/Minnesota/A01509676/2014,Minnesota,H3N2,N2.2002B,cluster_iva
KJ809093,A/swine/Nebraska/A01509623/2014,Nebraska,H1N2,N2.2002A,delta1a
KJ880062,A/swine/Illinois/A01410786/2014,Illinois,H3N2,N2.2002B,cluster_iva
KJ941362,A/swine/Illinois/A01475495/2014,Illinois,H1N2,N2.2002A,delta1b
KJ859589,A/swine/Indiana/A01410773/2014,Indiana,H3N2,N2.2002B,cluster_iva
KJ859592,A/swine/Iowa/A01410748/2014,Iowa,H3N2,N2.2002B,cluster_iva
KJ859616,A/swine/Iowa/A01410751/2014,Iowa,H1N2,N2.2002A,delta1b
KJ859607,A/swine/Iowa/A01410774/2014,Iowa,H1N2,N2.2002A,delta1b
KJ941375,A/swine/Iowa/A01410847/2014,Iowa,H3N2,N2.2002B,cluster_iva
KJ941372,A/swine/Iowa/A01475456/2014,Iowa,H3N2,N2.2002B,cluster_iva
KJ941335,A/swine/Iowa/A01475544/2014,Iowa,H3N2,N2.2002B,cluster_iva
KJ941350,A/swine/Iowa/A01475548/2014,Iowa,H3N2,N2.2002B,cluster_iva
KJ859574,A/swine/Minnesota/A01410771/2014,Minnesota,H3N2,N2.2002B,cluster_iva
KJ941353,A/swine/Minnesota/A01410855/2014,Minnesota,H1N2,N2.2002B,delta1a
KJ941338,A/swine/Minnesota/A01410867/2014,Minnesota,H1N2,N2.2002A,delta1a
KJ859613,A/swine/North_Carolina/A01410777/2014,North Carolina,H3N2,N2.2002B,cluster_iva
KJ859595,A/swine/North_Carolina/A01410779/2014,North Carolina,H3N2,N2.2002B,cluster_iva
KJ880050,A/swine/North_Carolina/A01410790/2014,North Carolina,H1N2,N2.2002A,delta1b
KJ880047,A/swine/North_Carolina/A01410800/2014,North Carolina,H3N2,N2.2002B,cluster_iva
KM027344,A/swine/North_Carolina/A01410877/2014,North Carolina,H3N2,N2.2002B,cluster_iva
KM027362,A/swine/North_Carolina/A01410920/2014,North Carolina,H1N2,N2.2002B,delta2
KJ941365,A/swine/North_Carolina/A01475526/2014,North Carolina,(N2),N2.2002B,cluster_iva
KM027359,A/swine/North_Carolina/A01475600/2014,North Carolina,H3N2,N2.2002B,cluster_iva
KM027347,A/swine/North_Carolina/A01475606/2014,North Carolina,H1N2,N2.1998B,delta2
KJ941344,A/swine/United_State/A01410840/2014,Unknown,H3N2,N2.2002B,cluster_iva
KJ941356,A/swine/United_State/A01475573/2014,Unknown,H1N2,N2.2002A,delta1b
KM027368,A/swine/USA/A01410908/2014,Unknown,H3N2,N2.2002B,cluster_iva
KM027353,A/swine/USA/A01475710/2014,Unknown,H1N2,N2.2002A,delta1b
KJ889287,A/swine/Iowa/A01481221/2014,Iowa,H3N2,N2.2002B,cluster_ivb
KM245291,A/swine/Indiana/A01260544/2014,Indiana,H1N2,N2.2002A,delta1b
